식당명,주소,위도,경도,거리(km),"{ name: '식당명', address: '주소', latitude: 위도, longitude: 경도, distance: 거리(km) },",,,,,
도월,"경기도 성남시 수정구 금토동 272-25 지하1층, 1층 ",37.4092195,127.0974603,0.73,"{ name: '도월', address: '경기도 성남시 수정구 금토동 272-25 지하1층, 1층 ', latitude: 37.4092195, longitude: 127.0974603, distance: 0.73 },",,,,,
엄마네 돼지마을,경기도 성남시 수정구 시흥동 83-35 1층 ,37.42077134,127.1038413,0.73,"{ name: '엄마네 돼지마을', address: '경기도 성남시 수정구 시흥동 83-35 1층 ', latitude: 37.42077134, longitude: 127.1038413, distance: 0.73 },",,,,,
판교양평해장국 막국수,경기도 성남시 수정구 시흥동 221-1 1층 ,37.42181446,127.1027922,0.77,"{ name: '판교양평해장국 막국수', address: '경기도 성남시 수정구 시흥동 221-1 1층 ', latitude: 37.42181446, longitude: 127.1027922, distance: 0.77 },",,,,,
돈우모리,"경기도 성남시 수정구 시흥동 293 판교 제2테크노밸리 경기 기업성장센터 지하1층 B120, 121호 ",37.40868154,127.0970774,0.79,"{ name: '돈우모리', address: '경기도 성남시 수정구 시흥동 293 판교 제2테크노밸리 경기 기업성장센터 지하1층 B120, 121호 ', latitude: 37.40868154, longitude: 127.0970774, distance: 0.79 },",,,,,
라라스페이스,"경기도 성남시 수정구 시흥동 293 판교 제2테크노밸리 경기 기업성장센터,1층 118호 ",37.40868154,127.0970774,0.79,"{ name: '라라스페이스', address: '경기도 성남시 수정구 시흥동 293 판교 제2테크노밸리 경기 기업성장센터,1층 118호 ', latitude: 37.40868154, longitude: 127.0970774, distance: 0.79 },",,,,,
마리오븐,경기도 성남시 수정구 시흥동 293 1층 117호 ,37.40868154,127.0970774,0.79,"{ name: '마리오븐', address: '경기도 성남시 수정구 시흥동 293 1층 117호 ', latitude: 37.40868154, longitude: 127.0970774, distance: 0.79 },",,,,,
마리오븐 2호,"경기도 성남시 수정구 시흥동 293 판교 제2테크노밸리 경기 기업성장센터,지하1층B110호 ",37.40868154,127.0970774,0.79,"{ name: '마리오븐 2호', address: '경기도 성남시 수정구 시흥동 293 판교 제2테크노밸리 경기 기업성장센터,지하1층B110호 ', latitude: 37.40868154, longitude: 127.0970774, distance: 0.79 },",,,,,
백경 판교본점,경기도 성남시 수정구 시흥동 293 판교 제2테크노밸리 경기 기업성장센터 B117호,37.40868154,127.0970774,0.79,"{ name: '백경 판교본점', address: '경기도 성남시 수정구 시흥동 293 판교 제2테크노밸리 경기 기업성장센터 B117호', latitude: 37.40868154, longitude: 127.0970774, distance: 0.79 },",,,,,
블리스버거 판교2밸리점,경기도 성남시 수정구 시흥동 293 지하1층 116호 ,37.40868154,127.0970774,0.79,"{ name: '블리스버거 판교2밸리점', address: '경기도 성남시 수정구 시흥동 293 지하1층 116호 ', latitude: 37.40868154, longitude: 127.0970774, distance: 0.79 },",,,,,
신황산벌,경기도 성남시 수정구 금토동 270-9 지층 ,37.40890227,127.0960003,0.79,"{ name: '신황산벌', address: '경기도 성남시 수정구 금토동 270-9 지층 ', latitude: 37.40890227, longitude: 127.0960003, distance: 0.79 },",,,,,
에스이커피 기업성장센터점,"경기도 성남시 수정구 시흥동 293 판교 제2테크노밸리 경기 기업성장센터,1층 107호108호109호 ",37.40868154,127.0970774,0.79,"{ name: '에스이커피 기업성장센터점', address: '경기도 성남시 수정구 시흥동 293 판교 제2테크노밸리 경기 기업성장센터,1층 107호108호109호 ', latitude: 37.40868154, longitude: 127.0970774, distance: 0.79 },",,,,,
이태리부대찌개 제2판교점,경기도 성남시 수정구 시흥동 293 지하1층 B113호 ,37.40868154,127.0970774,0.79,"{ name: '이태리부대찌개 제2판교점', address: '경기도 성남시 수정구 시흥동 293 지하1층 B113호 ', latitude: 37.40868154, longitude: 127.0970774, distance: 0.79 },",,,,,
임진강 메기매운탕,경기도 성남시 수정구 시흥동 83-10 1층 ,37.42088184,127.1047178,0.79,"{ name: '임진강 메기매운탕', address: '경기도 성남시 수정구 시흥동 83-10 1층 ', latitude: 37.42088184, longitude: 127.1047178, distance: 0.79 },",,,,,
전주콩나물 국밥,경기도 성남시 수정구 시흥동 293 판교 제2테크노밸리 경기 기업성장센터1층 120호 ,37.40868154,127.0970774,0.79,"{ name: '전주콩나물 국밥', address: '경기도 성남시 수정구 시흥동 293 판교 제2테크노밸리 경기 기업성장센터1층 120호 ', latitude: 37.40868154, longitude: 127.0970774, distance: 0.79 },",,,,,
카페리빈 판교점,"경기도 성남시 수정구 시흥동 293 1층,122호 ",37.40868154,127.0970774,0.79,"{ name: '카페리빈 판교점', address: '경기도 성남시 수정구 시흥동 293 1층,122호 ', latitude: 37.40868154, longitude: 127.0970774, distance: 0.79 },",,,,,
판교감자탕보쌈,경기도 성남시 수정구 시흥동 293 판교 제2테크노밸리 경기 기업성장센터 지하1층 B114호 ,37.40868154,127.0970774,0.79,"{ name: '판교감자탕보쌈', address: '경기도 성남시 수정구 시흥동 293 판교 제2테크노밸리 경기 기업성장센터 지하1층 B114호 ', latitude: 37.40868154, longitude: 127.0970774, distance: 0.79 },",,,,,
풍경한식뷔페,"경기도 성남시 수정구 시흥동 293 판교 제2테크노밸리 경기 기업성장센터,1층 114~116호 ",37.40868154,127.0970774,0.79,"{ name: '풍경한식뷔페', address: '경기도 성남시 수정구 시흥동 293 판교 제2테크노밸리 경기 기업성장센터,1층 114~116호 ', latitude: 37.40868154, longitude: 127.0970774, distance: 0.79 },",,,,,
풍원장 손칼국수,"경기도 성남시 수정구 시흥동 293 판교 제2테크노밸리 경기 기업성장센터,지하1층B115호 ",37.40868154,127.0970774,0.79,"{ name: '풍원장 손칼국수', address: '경기도 성남시 수정구 시흥동 293 판교 제2테크노밸리 경기 기업성장센터,지하1층B115호 ', latitude: 37.40868154, longitude: 127.0970774, distance: 0.79 },",,,,,
